datestamp,centre_name,purchasing_power_quantile,estimated_actual_footfall,estimated_actual_footfall_rolling,indexed_signal,indexed_signal_rolling,source
2019-03-02,Met Office - Bradford,0,572753,562182,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-03,Met Office - Bradford,0,464424,588718,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-04,Met Office - Bradford,0,776666,643970,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-05,Met Office - Bradford,0,549411,617097,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-06,Met Office - Bradford,0,716841,629827,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-07,Met Office - Bradford,0,728112,661454,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-08,Met Office - Bradford,0,707019,638402,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-09,Met Office - Bradford,0,596620,575742,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-10,Met Office - Bradford,0,570495,582339,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-11,Met Office - Bradford,0,656703,651982,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-12,Met Office - Bradford,0,745573,648701,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-13,Met Office - Bradford,0,582017,637872,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-14,Met Office - Bradford,0,679943,662299,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-15,Met Office - Bradford,0,624271,641064,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-16,Met Office - Bradford,0,611850,564600,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-17,Met Office - Bradford,0,775808,591130,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-18,Met Office - Bradford,0,619772,653945,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-19,Met Office - Bradford,0,559123,638682,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-20,Met Office - Bradford,0,546257,629031,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-21,Met Office - Bradford,0,630787,668300,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-22,Met Office - Bradford,0,652110,640713,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-23,Met Office - Bradford,0,593792,578614,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-24,Met Office - Bradford,0,424728,564500,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-25,Met Office - Bradford,0,608990,660969,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-26,Met Office - Bradford,0,533979,641406,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-27,Met Office - Bradford,0,601752,621205,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
