area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Darley's street market,daily,2025-07-30,26454.03,26454.03,24200.302050504648,24200.302050504648,2253.727949495352,2253.727949495352
Darley's street market,daily,2025-07-31,20757.96,20757.96,18989.50375244503,18989.50375244503,1768.4562475549671,1768.4562475549671
Darley's street market,daily,2025-08-01,40848.82,40848.82,37368.74050595298,37368.74050595298,3480.079494047021,3480.079494047021
Darley's street market,daily,2025-08-02,11452.34,11452.34,10548.465894171297,10548.465894171297,903.8741058287028,903.8741058287028
Darley's street market,daily,2025-08-03,1472.74,1472.74,1356.504230662191,1356.504230662191,116.23576933780902,116.23576933780902
Darley's street market,daily,2025-08-04,13723.42,13723.42,12554.265235426757,12554.265235426757,1169.1547645732428,1169.1547645732428
Darley's street market,daily,2025-08-05,5672.94,5672.94,5189.6388381804145,5189.6388381804145,483.3011618195851,483.3011618195851
Darley's street market,daily,2025-08-06,10923.72,10923.72,9993.083228345118,9993.083228345118,930.6367716548806,930.6367716548806
Darley's street market,daily,2025-08-07,12184.71,12184.71,11146.644288140766,11146.644288140766,1038.065711859233,1038.065711859233
Darley's street market,daily,2025-08-08,22697.93,22697.93,20764.19970496786,20764.19970496786,1933.730295032138,1933.730295032138
Darley's street market,daily,2025-08-09,15236.6,15236.6,14034.05377792926,14034.05377792926,1202.5462220707395,1202.5462220707395
Darley's street market,daily,2025-08-10,1472.74,1472.74,1356.504230662191,1356.504230662191,116.23576933780902,116.23576933780902
Darley's street market,daily,2025-08-11,8766.67,8766.67,8019.8012165669115,8019.8012165669115,746.8687834330881,746.8687834330881
Darley's street market,daily,2025-08-12,9560.3,9560.3,8745.818602815509,8745.818602815509,814.4813971844899,814.4813971844899
Darley's street market,daily,2025-08-13,18494.47,18494.47,16918.84980337577,16918.84980337577,1575.6201966242309,1575.6201966242309
Darley's street market,daily,2025-08-14,12271.49,12271.49,11226.03114193744,11226.03114193744,1045.4588580625602,1045.4588580625602
Darley's street market,daily,2025-08-15,16405.87,16405.87,15008.186253713051,15008.186253713051,1397.6837462869478,1397.6837462869478
Darley's street market,daily,2025-08-16,16675.66,16675.66,15359.536197213542,15359.536197213542,1316.123802786458,1316.123802786458
