area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford city centre,daily,2025-08-15,48570.75,48570.75,39671.646914263314,39671.646914263314,8899.103085736688,8899.103085736688
Bradford city centre,daily,2025-08-16,115161.57,115161.57,94196.15154376774,94196.15154376774,20965.418456232263,20965.418456232263
Bradford city centre,daily,2025-08-17,85923.12,85923.12,70280.62601641624,70280.62601641624,15642.493983583754,15642.493983583754
Bradford city centre,daily,2025-08-18,69263.6,69263.6,56573.165602976456,56573.165602976456,12690.434397023551,12690.434397023551
Bradford city centre,daily,2025-08-19,60445.59,60445.59,49370.78599783461,49370.78599783461,11074.80400216539,11074.80400216539
Bradford city centre,daily,2025-08-20,62153.43,62153.43,50765.716598372084,50765.716598372084,11387.713401627918,11387.713401627918
Bradford city centre,daily,2025-08-21,25710.16,25710.16,20999.560221516367,20999.560221516367,4710.599778483634,4710.599778483634
Bradford city centre,daily,2025-08-22,96679.15,96679.15,78965.65531253068,78965.65531253068,17713.494687469312,17713.494687469312
Bradford city centre,daily,2025-08-23,27073.74,27073.74,22144.90576931668,22144.90576931668,4928.834230683323,4928.834230683323
Bradford city centre,daily,2025-08-24,53676.81,53676.81,43904.828052848075,43904.828052848075,9771.981947151922,9771.981947151922
Bradford city centre,daily,2025-08-25,61144.96,61144.96,49942.01785450613,49942.01785450613,11202.94214549387,11202.94214549387
Bradford city centre,daily,2025-08-26,66345.26,66345.26,54189.52207151417,54189.52207151417,12155.737928485823,12155.737928485823
Bradford city centre,daily,2025-08-27,45398.66,45398.66,37080.74530248533,37080.74530248533,8317.914697514672,8317.914697514672
Bradford city centre,daily,2025-08-28,88095.51,88095.51,71954.70457944242,71954.70457944242,16140.80542055758,16140.80542055758
Bradford city centre,daily,2025-08-29,91542.62,91542.62,74770.23719515509,74770.23719515509,16772.38280484491,16772.38280484491
Bradford city centre,daily,2025-08-30,182155.54,182155.54,148993.72117258253,148993.72117258253,33161.81882741747,33161.81882741747
Bradford city centre,daily,2025-08-31,30897.48,30897.48,25272.525447512853,25272.525447512853,5624.954552487146,5624.954552487146
Bradford city centre,daily,2025-09-01,87861.4,87861.4,71763.48807034799,71763.48807034799,16097.91192965201,16097.91192965201
