,datestamp,estimated_actual_footfall,year,month,weekday,week_of_year,Sin_weekday,Cos_weekday,Sin_monthday,Cos_monthday,Sin_week_of_year,Cos_week_of_year,Sin_month,Cos_month,is_weekend,bank_hol,school_hol,covid,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,daylight_duration,area_name,area_Bradford - BID,area_Bradford - City Centre,area_Bradford - Lister Park,area_Bradford - Local Authority,area_Bradford - Roberts Park
15566,2022-12-13,15871.8,2022,12,1,50,0.8660254037844386,0.5000000000000001,0.485301962531081,-0.8743466161445821,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-1.8958331,0.0,9.686609,26929.254,Bradford - Lister Park,0,0,1,0,0
15567,2022-12-13,674690.0,2022,12,1,50,0.8660254037844386,0.5000000000000001,0.485301962531081,-0.8743466161445821,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-1.8546667,0.0,10.685391,26929.254,Bradford - Local Authority,0,0,0,1,0
15568,2022-12-13,2009.01,2022,12,1,50,0.8660254037844386,0.5000000000000001,0.485301962531081,-0.8743466161445821,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-1.8958331,0.0,9.686609,26929.254,Bradford - Roberts Park,0,0,0,0,1
15575,2022-12-14,95224.9,2022,12,2,50,0.8660254037844387,-0.4999999999999998,0.299363122973358,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.9020834,0.0,16.56,26873.322,Bradford - BID,1,0,0,0,0
15576,2022-12-14,61629.84,2022,12,2,50,0.8660254037844387,-0.4999999999999998,0.299363122973358,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.9020834,0.0,16.56,26873.322,Bradford - City Centre,0,1,0,0,0
15577,2022-12-14,13038.8,2022,12,2,50,0.8660254037844387,-0.4999999999999998,0.299363122973358,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.9020834,0.0,16.56,26873.322,Bradford - Lister Park,0,0,1,0,0
15578,2022-12-14,701278.0,2022,12,2,50,0.8660254037844387,-0.4999999999999998,0.299363122973358,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.848417,0.0,15.937878,26873.322,Bradford - Local Authority,0,0,0,1,0
15579,2022-12-14,2198.35,2022,12,2,50,0.8660254037844387,-0.4999999999999998,0.299363122973358,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.9020834,0.0,16.56,26873.322,Bradford - Roberts Park,0,0,0,0,1
15586,2022-12-15,70108.675,2022,12,3,50,1.2246467991473532e-16,-1.0,0.1011683219874327,-0.994869323391895,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.525,0.0,19.813087,26824.074,Bradford - BID,1,0,0,0,0
15587,2022-12-15,46655.47,2022,12,3,50,1.2246467991473532e-16,-1.0,0.1011683219874327,-0.994869323391895,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.525,0.0,19.813087,26824.074,Bradford - City Centre,0,1,0,0,0
15588,2022-12-15,6518.84,2022,12,3,50,1.2246467991473532e-16,-1.0,0.1011683219874327,-0.994869323391895,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.525,0.0,19.813087,26824.074,Bradford - Lister Park,0,0,1,0,0
15589,2022-12-15,708550.0,2022,12,3,50,1.2246467991473532e-16,-1.0,0.1011683219874327,-0.994869323391895,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.4359167,0.0,18.1041,26824.074,Bradford - Local Authority,0,0,0,1,0
15590,2022-12-15,8834.54,2022,12,3,50,1.2246467991473532e-16,-1.0,0.1011683219874327,-0.994869323391895,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-2.525,0.0,19.813087,26824.074,Bradford - Roberts Park,0,0,0,0,1
15597,2022-12-16,91805.445,2022,12,4,50,-0.8660254037844385,-0.5000000000000004,-0.101168321987432,-0.9948693233918952,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-1.49375,0.0,17.072504,26781.596,Bradford - BID,1,0,0,0,0
15598,2022-12-16,39113.24,2022,12,4,50,-0.8660254037844385,-0.5000000000000004,-0.101168321987432,-0.9948693233918952,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-1.49375,0.0,17.072504,26781.596,Bradford - City Centre,0,1,0,0,0
15599,2022-12-16,11888.32,2022,12,4,50,-0.8660254037844385,-0.5000000000000004,-0.101168321987432,-0.9948693233918952,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-1.49375,0.0,17.072504,26781.596,Bradford - Lister Park,0,0,1,0,0
15600,2022-12-16,712659.0,2022,12,4,50,-0.8660254037844385,-0.5000000000000004,-0.101168321987432,-0.9948693233918952,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-0.9859166,0.0,21.252197,26781.596,Bradford - Local Authority,0,0,0,1,0
15601,2022-12-16,2897.89,2022,12,4,50,-0.8660254037844385,-0.5000000000000004,-0.101168321987432,-0.9948693233918952,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,0,0,0,0,-1.49375,0.0,17.072504,26781.596,Bradford - Roberts Park,0,0,0,0,1
15607,2022-12-17,126054.285,2022,12,5,50,-0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,1.2374998,1.6,22.828087,26745.943,Bradford - BID,1,0,0,0,0
15608,2022-12-17,60812.88,2022,12,5,50,-0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,1.2374998,1.6,22.828087,26745.943,Bradford - City Centre,0,1,0,0,0
