area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,,Event took place
BD WALL - Wayfinders,weekly,25/03/2019,209610.16,29944.31,44908.41580871661,6415.488278741406,164701.74419128342,23528.821721258595,,
BD WALL - Wayfinders,daily,26/03/2019,16282.06,16282.06,4031.7544076766335,4031.7544076766335,12250.305592323366,12250.305592323366,,
BD WALL - Wayfinders,daily,27/03/2019,15000.36,15000.36,3714.3805849343553,3714.3805849343553,11285.979415065645,11285.979415065645,,
BD WALL - Wayfinders,daily,28/03/2019,24594.7,24594.7,6090.125581805036,6090.125581805036,18504.574418194963,18504.574418194963,,
BD WALL - Wayfinders,daily,29/03/2019,45923.03,45923.03,11371.434487796156,11371.434487796156,34551.59551220384,34551.59551220384,,
BD WALL - Wayfinders,daily,30/03/2019,16354.31,16354.31,2027.1662848605044,2027.1662848605044,14327.143715139497,14327.143715139497,,
BD WALL - Wayfinders,daily,31/03/2019,54545.57,54545.57,6761.088697260758,6761.088697260758,47784.481302739245,47784.481302739245,,
BD WALL - Wayfinders,daily,01/04/2019,17784.42,17784.42,4403.767934,4403.767934,13380.652066275858,13380.652066275858,,
BD WALL - Wayfinders,weekly,01/04/2019,185677.22,26525.32,39780.84746448622,5682.978821347528,145896.3725355138,20842.341178652474,,
BD WALL - Wayfinders,monthly,01/04/2019,795024.86,26500.83,170331.9485617811,5677.731904389136,624692.9114382189,20823.09809561087,,
BD WALL - Wayfinders,daily,02/04/2019,16282.06,16282.06,4031.7544076766335,4031.7544076766335,12250.305592323366,12250.305592323366,,
BD WALL - Wayfinders,daily,03/04/2019,17921.07,17921.07,4437.605128760211,4437.605128760211,13483.464871239788,13483.464871239788,,
BD WALL - Wayfinders,daily,04/04/2019,17011.18,17011.18,4212.298686086441,4212.298686086441,12798.88131391356,12798.88131391356,,
BD WALL - Wayfinders,daily,05/04/2019,26083.81,26083.81,6458.858150412163,6458.858150412163,19624.95184958784,19624.95184958784,,
BD WALL - Wayfinders,daily,06/04/2019,21736.51,21736.51,2694.306285164779,2694.306285164779,19042.20371483522,19042.20371483522,,
BD WALL - Wayfinders,daily,07/04/2019,32732.9,32732.9,4057.342149299506,4057.342149299506,28675.557850700498,28675.557850700498,,
BD WALL - Wayfinders,daily,08/04/2019,21736.51,21736.51,5382.382204709184,5382.382204709184,16354.127795290815,16354.127795290815,,
BD WALL - Wayfinders,weekly,08/04/2019,190687.78,27241.11,40854.34653,5836.3349132073945,149833.4335,21404.775086792608,,
BD WALL - Wayfinders,daily,09/04/2019,37601.63,37601.63,9310.894167,9310.894167,28290.735832534338,28290.735832534338,,
BD WALL - Wayfinders,daily,10/04/2019,12679.51,12679.51,3139.6930320659644,3139.6930320659644,9539.816967934035,9539.816967934035,,
BD WALL - Wayfinders,daily,11/04/2019,17784.42,17784.42,4403.767934,4403.767934,13380.652066275858,13380.652066275858,,
BD WALL - Wayfinders,daily,12/04/2019,35006.46,35006.46,8668.279652707075,8668.279652707075,26338.180347292924,26338.180347292924,,
BD WALL - Wayfinders,daily,13/04/2019,22754.94,22754.94,2820.5437699312097,2820.5437699312097,19934.39623006879,19934.39623006879,,
BD WALL - Wayfinders,daily,14/04/2019,21736.51,21736.51,2694.306285164779,2694.306285164779,19042.20371483522,19042.20371483522,,
BD WALL - Wayfinders,daily,15/04/2019,13873.93,13873.93,3435.4546310047426,3435.4546310047426,10438.475368995258,10438.475368995258,,
BD WALL - Wayfinders,weekly,15/04/2019,183560.16,26222.88,39327.273025289185,5618.181860755598,144232.88697471083,20604.698139244403,,
BD WALL - Wayfinders,daily,16/04/2019,36342.51,36342.51,8999.111591,8999.111591,27343.39840855935,27343.39840855935,,
BD WALL - Wayfinders,daily,17/04/2019,11655.32,11655.32,2886.0836886046127,2886.0836886046127,8769.236311395387,8769.236311395387,,
BD WALL - Wayfinders,daily,18/04/2019,22845.83,22845.83,5657.071390200692,5657.071390200692,17188.75860979931,17188.75860979931,,
BD WALL - Wayfinders,daily,19/04/2019,16452.71,16452.71,4074.0106633144346,4074.0106633144346,12378.699336685564,12378.699336685564,,
BD WALL - Wayfinders,daily,20/04/2019,26652.32,26652.32,3303.6358316133983,3303.6358316133983,23348.684168386604,23348.684168386604,,
BD WALL - Wayfinders,daily,21/04/2019,21979.82,21979.82,2724.4652969952635,2724.4652969952635,19255.354703004738,19255.354703004738,,
BD WALL - Wayfinders,daily,22/04/2019,15666.15,15666.15,3879.2431248762928,3879.2431248762928,11786.906875123706,11786.906875123706,,
BD WALL - Wayfinders,weekly,22/04/2019,183631.23,26233.03,39342.499582587385,5620.356471091559,144288.73041741262,20612.673528908443,,
