area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,
Baildon,daily,24/05/2019,9188.47,9188.47,5906.466893,5906.466893,3282.003107,3282.003107,
Baildon,daily,25/05/2019,16908.85,16908.85,10869.22662,10869.22662,6039.623379,6039.623379,
Baildon,daily,26/05/2019,7502.68,7502.68,4822.819363,4822.819363,2679.860637,2679.860637,
Baildon,daily,27/05/2019,6689.98,6689.98,4300.405333,4300.405333,2389.574667,2389.574667,
Baildon,daily,27/05/2019,17043.72,17043.72,14902.84939,14902.84939,2140.870608,2140.870608,
Baildon,daily,28/05/2019,14239.04,14239.04,12450.46672,12450.46672,1788.573282,1788.573282,
Baildon,daily,29/05/2019,15030.09,15030.09,9661.535488,9661.535488,5368.554512,5368.554512,
Baildon,daily,30/05/2019,26394.31,26394.31,16966.60251,16966.60251,9427.707488,9427.707488,
Baildon,daily,31/05/2019,14623.87,14623.87,9400.412039,9400.412039,5223.457961,5223.457961,
Baildon,daily,01/06/2019,7998.46,7998.46,5141.513134,5141.513134,2856.946866,2856.946866,
Baildon,daily,01/06/2019,26598.62,26598.62,17097.93561,17097.93561,9500.684388,9500.684388,
Baildon,daily,02/06/2019,39795.78,39795.78,34797.0112,34797.0112,4998.768797,4998.768797,
Baildon,daily,03/06/2019,32792.93,32792.93,28673.79286,28673.79286,4119.137136,4119.137136,
Baildon,daily,03/06/2019,11762.68,11762.68,7561.202245,7561.202245,4201.477755,4201.477755,
Baildon,daily,04/06/2019,6783.99,6783.99,4360.836172,4360.836172,2423.153828,2423.153828,
Baildon,daily,05/06/2019,11512.41,11512.41,7400.325465,7400.325465,4112.084535,4112.084535,
Baildon,daily,06/06/2019,9586.07,9586.07,6162.049296,6162.049296,3424.020704,3424.020704,
Baildon,daily,07/06/2019,6980.8,6980.8,4487.348175,4487.348175,2493.451825,2493.451825,
Baildon,daily,08/06/2019,13197.15,13197.15,11539.44907,11539.44907,1657.700933,1657.700933,
Baildon,daily,09/06/2019,15677.32,15677.32,13708.08361,13708.08361,1969.236387,1969.236387,
Baildon,daily,10/06/2019,14623.87,14623.87,9400.412039,9400.412039,5223.457961,5223.457961,
Baildon,daily,10/06/2019,6659,6659,4280.490989,4280.490989,2378.509011,2378.509011,
Baildon,daily,11/06/2019,14239.04,14239.04,9153.038357,9153.038357,5086.001643,5086.001643,
Baildon,daily,12/06/2019,10609.48,10609.48,6819.910428,6819.910428,3789.569572,3789.569572,
Baildon,daily,13/06/2019,6980.8,6980.8,4487.348175,4487.348175,2493.451825,2493.451825,
Baildon,daily,14/06/2019,8521.86,8521.86,7451.424696,7451.424696,1070.435304,1070.435304,
Baildon,daily,15/06/2019,16396.46,16396.46,14336.89206,14336.89206,2059.56794,2059.56794,
Baildon,daily,16/06/2019,24089.93,24089.93,15485.31736,15485.31736,8604.61264,8604.61264,
